MGG Query	Matched Targets	Functional Names
WP_009885700.1	WP_014894110	aspartate--tRNA ligase [Mycoplasma genitalium]
WP_009885703.1	WP_014893903	hypothetical protein [Mycoplasma genitalium]
WP_009885706.1	WP_014325313	spermidine/putrescine ABC transporter permease [Mycoplasma pneumoniae]
WP_009885708.1	WP_010874416	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD [Mycoplasma pneumoniae]
WP_009885709.1	WP_014894118	methionine adenosyltransferase [Mycoplasma genitalium]
WP_009885733.1	WP_014893914	hypothetical protein [Mycoplasma genitalium]
WP_009885736.1	WP_014894425	phenylalanine--tRNA ligase subunit beta [Mycoplasma genitalium]
WP_009885737.1	WP_014894620	translation initiation factor IF-3 [Mycoplasma genitalium]
WP_009885738.1	WP_010874473	50S ribosomal protein L35 [Mycoplasma pneumoniae]
WP_009885739.1	WP_014894211	50S ribosomal protein L20 [Mycoplasma genitalium]
WP_009885760.1	WP_014894625	ribosomal RNA small subunit methyltransferase H [Mycoplasma genitalium]
WP_009885765.1	WP_010874677	dihydrofolate reductase [Mycoplasma pneumoniae]
WP_009885766.1	WP_014894630	ribonucleoside-diphosphate reductase subunit beta [Mycoplasma genitalium]
WP_009885768.1	WP_010874680	ribonucleoside-diphosphate reductase subunit alpha [Mycoplasma pneumoniae]
WP_009885769.1	WP_010874681	50S ribosomal protein L21 [Mycoplasma pneumoniae]
WP_010869297.1	WP_014893902	hypothetical protein [Mycoplasma genitalium]
WP_010869300.1	WP_014894111	glycerol kinase [Mycoplasma genitalium]
WP_010869301.1	WP_014894112	hypothetical protein [Mycoplasma genitalium]
WP_010869302.1	WP_014894114	phosphocarrier protein HPr [Mycoplasma genitalium]
WP_010869303.1	WP_014893904	spermidine/putrescine import ATP-binding protein PotA [Mycoplasma genitalium]
WP_010869475.1	WP_041360985	30S ribosomal protein S9 [Mycoplasma genitalium]
WP_010869476.1	WP_010874974	50S ribosomal protein L13 [Mycoplasma pneumoniae]
WP_010869478.1	WP_014894070	hypothetical protein [Mycoplasma genitalium]
WP_010869479.1	WP_014894333	RNase J family beta-CASP ribonuclease [Mycoplasma genitalium]
WP_010869480.1	WP_014894336	phosphoenolpyruvate--protein phosphotransferase [Mycoplasma genitalium]
WP_014894030.1	WP_010869425	hypothetical protein [Mycoplasma genitalium]
WP_014894034.1	WP_014894290	hypothetical protein [Mycoplasma genitalium]
WP_014894048.1	WP_014575020	hypothetical protein [Mycoplasma pneumoniae]
WP_014894056.1	WP_017532864	hypothetical protein [Mycoplasma pneumoniae]
WP_010869323.1	WP_041361188	50S ribosomal protein L1 [Mycoplasma genitalium]
WP_010869324.1	WP_014894145	tRNA(Ile)-lysidine synthetase [Mycoplasma genitalium]
WP_010869325.1	WP_014893926	HPr(Ser) kinase/phosphatase [Mycoplasma genitalium]
WP_010869326.1	WP_041363359	30S ribosomal protein S12 [Mycoplasma genitalium]
WP_010869327.1	WP_010874586	single-stranded DNA-binding protein [Mycoplasma pneumoniae]
WP_009885910.1	WP_014894254	hypothetical protein [Mycoplasma genitalium]
WP_009885912.1	WP_014894537	uracil phosphoribosyltransferase [Mycoplasma genitalium]
WP_009885913.1	WP_014893901	DJ-1 family protein [Mycoplasma genitalium]
WP_009885914.1	WP_014894105	hypothetical protein [Mycoplasma genitalium]
WP_009885915.1	WP_014894104	hypothetical protein [Mycoplasma genitalium]
WP_009885887.1	WP_014894464	hypothetical protein [Mycoplasma genitalium]
WP_009885888.1	WP_014894278	esterase [Mycoplasma genitalium]
WP_009885889.1	WP_014894279	30S ribosomal protein S4 [Mycoplasma genitalium]
WP_009885892.1	WP_010874733	hypothetical protein [Mycoplasma pneumoniae]
WP_009885893.1	WP_014894444	DNA polymerase III subunit alpha [Mycoplasma genitalium]
WP_009885856.1	WP_014894189	adenylate kinase [Mycoplasma genitalium]
WP_009885857.1	WP_014894190	type I methionyl aminopeptidase [Mycoplasma genitalium]
WP_009885858.1	WP_010874544	translation initiation factor IF-1 [Mycoplasma pneumoniae]
WP_009885859.1	WP_010874545	50S ribosomal protein L36 [Mycoplasma pneumoniae]
WP_009885860.1	WP_010874546	30S ribosomal protein S13 [Mycoplasma pneumoniae]
WP_010869384.1	WP_014894628	hypothetical protein [Mycoplasma genitalium]
WP_010869385.1	WP_053344028	thymidylate synthase [Mycoplasma pneumoniae]
WP_010869386.1	WP_014894231	protein NrdI [Mycoplasma genitalium]
WP_010869387.1	WP_014574948	nicotinate-nucleotide adenylyltransferase [Mycoplasma pneumoniae]
WP_010869388.1	WP_010874693	hypothetical protein [Mycoplasma pneumoniae]
WP_010869445.1	WP_010874882	hypothetical protein [Mycoplasma pneumoniae]
WP_010869446.1	WP_014894484	chaperone protein ClpB [Mycoplasma genitalium]
WP_010869447.1	WP_014894485	Holliday junction ATP-dependent DNA helicase RuvA [Mycoplasma genitalium]
WP_010869448.1	WP_014325590	DNA polymerase IV [Mycoplasma pneumoniae]
WP_010869449.1	WP_010874899	hypothetical protein [Mycoplasma pneumoniae]
WP_010869419.1	WP_014894462	ABC transporter ATP-binding protein [Mycoplasma genitalium]
WP_010869420.1	WP_014894276	hypothetical protein [Mycoplasma genitalium]
WP_010869421.1	WP_014894027	hypothetical protein [Mycoplasma genitalium]
WP_010869422.1	WP_014894028	helicase [Mycoplasma genitalium]
WP_010869424.1	WP_014894280	HMW1 cytadherence accessory protein [Mycoplasma genitalium]
WP_010869362.1	WP_014894604	50S ribosomal protein L17 [Mycoplasma genitalium]
WP_010869363.1	WP_014893976	adenine methylase [Mycoplasma genitalium]
WP_010869364.1	WP_014894611	hypothetical protein [Mycoplasma genitalium]
WP_010869365.1	WP_014894420	ABC transporter ATP-binding protein [Mycoplasma genitalium]
WP_010869366.1	WP_014893984	adhesin P1 [Mycoplasma genitalium]
WP_041593679.1	WP_049759245	hypothetical protein [Mycoplasma genitalium]
WP_041593680.1	WP_014894008	adhesin [Mycoplasma genitalium]
WP_041593682.1	WP_041594442	adhesin [Mycoplasma genitalium]
WP_041593683.1	WP_014894204	hypothetical protein [Mycoplasma genitalium]
WP_049759242.1	WP_014894609	hypothetical protein [Mycoplasma genitalium]
WP_009885916.1	WP_014893899	GTP-binding protein YchF [Mycoplasma genitalium]
WP_009885917.1	WP_014894535	fructose-bisphosphate aldolase [Mycoplasma genitalium]
WP_009885918.1	WP_010874381	DNA-directed RNA polymerase subunit delta [Mycoplasma pneumoniae]
WP_009885919.1	WP_014893898	methionine--tRNA ligase [Mycoplasma genitalium]
WP_009885920.1	WP_014894533	prolyl aminopeptidase [Mycoplasma genitalium]
WP_009885942.1	WP_010874915	ribosomal RNA small subunit methyltransferase G [Mycoplasma pneumoniae]
WP_009885943.1	WP_010874918	uridine kinase [Mycoplasma pneumoniae]
WP_009885944.1	WP_014325600	NAD(+) synthetase [Mycoplasma pneumoniae]
WP_009885945.1	WP_010874920	GTPase Obg [Mycoplasma pneumoniae]
WP_009885949.1	WP_014894312	hypothetical protein [Mycoplasma genitalium]
WP_009885986.1	WP_014894295	FMN-dependent NADH-azoreductase [Mycoplasma genitalium]
WP_009885988.1	WP_014894465	hypothetical protein [Mycoplasma genitalium]
WP_009885989.1	WP_014894282	hypothetical protein [Mycoplasma genitalium]
WP_009885990.1	WP_014894662	hypothetical protein [Mycoplasma genitalium]
WP_009885993.1	WP_010874757	transcription elongation factor GreA [Mycoplasma pneumoniae]
WP_009885842.1	WP_010874529	50S ribosomal protein L16 [Mycoplasma pneumoniae]
WP_009885844.1	WP_010874531	30S ribosomal protein S17 [Mycoplasma pneumoniae]
WP_009885845.1	WP_010874532	50S ribosomal protein L14 [Mycoplasma pneumoniae]
WP_009885846.1	WP_014894185	50S ribosomal protein L24 [Mycoplasma genitalium]
WP_009885815.1	WP_010874891	hypothetical protein [Mycoplasma pneumoniae]
WP_009885816.1	WP_014894679	Holliday junction DNA helicase RuvB [Mycoplasma genitalium]
WP_009885818.1	WP_010874895	50S ribosomal protein L10 [Mycoplasma pneumoniae]
WP_009885819.1	WP_014325591	50S ribosomal protein L7/L12 [Mycoplasma pneumoniae]
WP_009885820.1	WP_014325592	50S ribosomal protein L32 [Mycoplasma pneumoniae]
WP_009885787.1	WP_014894634	RNA polymerase sigma factor SigA [Mycoplasma genitalium]
WP_009885788.1	WP_014325479	DNA primase [Mycoplasma pneumoniae]
WP_009885791.1	WP_014894436	DNA ligase (NAD(+)) LigA [Mycoplasma genitalium]
WP_009885793.1	WP_014325485	peptide chain release factor 1 [Mycoplasma pneumoniae]
WP_009885794.1	WP_010874718	HemK family methylase [Mycoplasma pneumoniae]
WP_009885609.1	WP_014894694	DNA polymerase III subunit gamma/tau [Mycoplasma genitalium]
WP_009885613.1	WP_014894503	phosphate ABC transporter ATP-binding protein [Mycoplasma genitalium]
WP_009885614.1	WP_014894502	phosphate transport system regulatory protein PhoU [Mycoplasma genitalium]
WP_009885616.1	WP_014894324	phosphopyruvate hydratase [Mycoplasma genitalium]
WP_009885632.1	WP_014894060	leucyl aminopeptidase [Mycoplasma genitalium]
WP_009885633.1	WP_014894058	hypothetical protein [Mycoplasma genitalium]
WP_009885634.1	WP_015344925	endoribonuclease YbeY [Mycoplasma pneumoniae]
WP_009885637.1	WP_014894142	peptide ABC transporter ATP-binding protein [Mycoplasma genitalium]
WP_009885638.1	WP_010874576	50S ribosomal protein L11 [Mycoplasma pneumoniae]
WP_009885581.1	WP_014894518	UTP--glucose-1-phosphate uridylyltransferase [Mycoplasma genitalium]
WP_009885582.1	WP_014894082	hypothetical protein [Mycoplasma genitalium]
WP_009885583.1	WP_010875022	elongation factor Tu [Mycoplasma pneumoniae]
WP_009885584.1	WP_014894081	hypothetical protein [Mycoplasma genitalium]
WP_009885587.1	WP_010875019	peptide-methionine (R)-S-oxide reductase [Mycoplasma pneumoniae]
WP_009885556.1	WP_014893890	DNA polymerase III subunit delta' [Mycoplasma genitalium]
WP_009885557.1	WP_014894526	dTMP kinase [Mycoplasma genitalium]
WP_009885559.1	WP_014894525	DNA gyrase subunit A [Mycoplasma genitalium]
WP_009885560.1	WP_010874360	DNA gyrase subunit B [Mycoplasma pneumoniae]
WP_009885561.1	WP_019830484	molecular chaperone DnaJ [Mycoplasma pneumoniae]
WP_009885665.1	WP_014574918	guanylate kinase [Mycoplasma pneumoniae]
WP_009885667.1	WP_014325417	protein kinase [Mycoplasma pneumoniae]
WP_009885669.1	WP_014894394	ribulose-phosphate 3-epimerase [Mycoplasma genitalium]
WP_009885670.1	WP_014894571	asparagine--tRNA ligase [Mycoplasma genitalium]
WP_009885673.1	WP_014894395	protein MG115 [Mycoplasma genitalium]
WP_041593674.1	WP_014894008	adhesin [Mycoplasma genitalium]
WP_041593675.1	WP_014894009	hypothetical protein [Mycoplasma genitalium]
WP_041593676.1	WP_014894654	hypothetical protein [Mycoplasma genitalium]
WP_041593677.1	WP_014894457	adhesin [Mycoplasma genitalium]
WP_041593678.1	WP_014894458	hypothetical protein [Mycoplasma genitalium]
WP_010869379.1	WP_041361207	hypothetical protein [Mycoplasma genitalium]
WP_010869380.1	WP_010874670	division/cell wall cluster transcriptional repressor MraZ [Mycoplasma pneumoniae]
WP_010869381.1	WP_015344901	hypothetical protein [Mycoplasma pneumoniae]
WP_010869382.1	WP_014894626	cell division protein FtsZ [Mycoplasma genitalium]
WP_010869383.1	WP_014894627	hypothetical protein [Mycoplasma genitalium]
WP_010869439.1	WP_014894476	glycosyl transferase family A [Mycoplasma genitalium]
